REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Consumer Cyclical,General Retail,2018,18Q1,10013425.4705262
Canada,Canada,Consumer Cyclical,General Retail,2018,18Q2,10209021.0109738
Canada,Canada,Consumer Cyclical,General Retail,2018,18Q3,10099039.2283681
Canada,Canada,Consumer Cyclical,General Retail,2018,18Q4,9954741.17281523
Canada,Canada,Consumer Cyclical,General Retail,2019,19Q1,9560417.06663051
Canada,Canada,Consumer Cyclical,General Retail,2019,19Q2,10307947.996335
Canada,Canada,Consumer Cyclical,General Retail,2019,19q3,10459158.8751866
Canada,Canada,Consumer Cyclical,General Retail,2019,19Q4,10480364.9872165
Canada,Canada,Consumer Cyclical,General Retail,2020,20Q1,10325618.9029303
Canada,Canada,Consumer Cyclical,General Retail,2020,20Q2,9801576.50509635
Canada,Canada,Consumer Cyclical,General Retail,2020,20Q3,10206657.0323446
Canada,Canada,Consumer Cyclical,General Retail,2020,20Q4,10507448.3275118
Canada,Canada,Consumer Cyclical,General Retail,2021,21Q1,11450320.2285656
Canada,Canada,Consumer Cyclical,General Retail,2021,21q2,12841075.0268857
Canada,Canada,Consumer Cyclical,General Retail,2021,21q3,12186752.0593027
Canada,Canada,Consumer Cyclical,General Retail,2021,21Q4,12157959.4902737
Canada,Canada,Consumer Cyclical,General Retail,2022,22q1,11726322.3010767
Canada,Canada,Consumer Cyclical,General Retail,2022,22Q2,12574328.035303
Canada,Canada,Consumer Cyclical,General Retail,2022,22Q3,12399688.945454
Canada,Canada,Consumer Cyclical,General Retail,2022,22Q4,11754154.3742695
Canada,Canada,Consumer Cyclical,General Retail,2023,23Q1,11882306.2563453
Canada,Canada,Consumer Cyclical,General Retail,2023,23Q2,15034995.4732566
Canada,Canada,Consumer Cyclical,General Retail,2023,23Q3,15127392.1046779
Canada,Canada,Consumer Cyclical,General Retail,2023,23q4,14638202.6756579
Canada,Canada,Consumer Cyclical,General Retail,2024,24q1,14801639.7699597
Canada,Canada,Consumer Cyclical,General Retail,2024,24q2,18747741.2868466
Canada,Canada,Consumer Cyclical,General Retail,2024,24q3,18740500.8592756
Canada,Canada,Consumer Cyclical,General Retail,2024,24q4,18615818.4578826
Canada,Canada,Consumer Cyclical,General Retail,2025,25Q1,18035182.7025174
Canada,Canada,Consumer Cyclical,General Retail,2025,25q2,21055723.8599971
Canada,Canada,Consumer Cyclical,Household services,2015,15Q2,18191198.97
Canada,Canada,Consumer Cyclical,Household services,2015,15Q3,20234567.3
